location,date,hour,day_of_week,total_slots,occupied_slots,available_slots,bookings,historical_occupancy,occupancy_rate,demand_level
T Nagar Commercial Hub,2026-06-01,15,0,120,95,25,23,76.47,79.17,MEDIUM
T Nagar Commercial Hub,2026-06-01,16,0,120,81,39,32,71.31,67.5,MEDIUM
T Nagar Commercial Hub,2026-06-01,17,0,120,101,19,28,93.13,84.17,HIGH
T Nagar Commercial Hub,2026-06-01,18,0,120,70,50,21,68.28,58.33,MEDIUM
T Nagar Commercial Hub,2026-06-01,19,0,120,96,24,22,84.23,80.0,HIGH
T Nagar Commercial Hub,2026-06-01,20,0,120,48,72,10,43.28,40.0,LOW
T Nagar Commercial Hub,2026-06-01,21,0,120,46,74,19,31.45,38.33,LOW
T Nagar Commercial Hub,2026-06-01,22,0,120,64,56,17,46.53,53.33,MEDIUM
T Nagar Commercial Hub,2026-06-01,23,0,120,15,105,7,16.22,12.5,LOW
Velachery Metro Station,2026-06-01,0,0,200,25,175,8,15.59,12.5,LOW
Velachery Metro Station,2026-06-01,1,0,200,23,177,9,7.78,11.5,LOW
Velachery Metro Station,2026-06-01,2,0,200,50,150,17,17.39,25.0,LOW
Velachery Metro Station,2026-06-01,3,0,200,10,190,2,12.81,5.0,LOW
Velachery Metro Station,2026-06-01,4,0,200,29,171,14,18.38,14.5,LOW
Velachery Metro Station,2026-06-01,5,0,200,36,164,11,23.34,18.0,LOW
Velachery Metro Station,2026-06-01,6,0,200,30,170,11,15.2,15.0,LOW
Velachery Metro Station,2026-06-01,7,0,200,197,3,45,98.0,98.5,HIGH
Velachery Metro Station,2026-06-01,8,0,200,188,12,80,91.33,94.0,HIGH
Velachery Metro Station,2026-06-01,9,0,200,179,21,52,98.0,89.5,HIGH
Velachery Metro Station,2026-06-01,10,0,200,191,9,91,95.85,95.5,HIGH
Velachery Metro Station,2026-06-01,11,0,200,167,33,66,79.24,83.5,HIGH
Velachery Metro Station,2026-06-01,12,0,200,167,33,50,83.52,83.5,HIGH
Velachery Metro Station,2026-06-01,13,0,200,155,45,33,72.48,77.5,MEDIUM
Velachery Metro Station,2026-06-01,14,0,200,146,54,55,80.17,73.0,MEDIUM
Velachery Metro Station,2026-06-01,15,0,200,136,64,48,68.87,68.0,MEDIUM
Velachery Metro Station,2026-06-01,16,0,200,171,29,39,77.51,85.5,HIGH
Velachery Metro Station,2026-06-01,17,0,200,186,14,73,94.94,93.0,HIGH
Velachery Metro Station,2026-06-01,18,0,200,190,10,57,97.38,95.0,HIGH
Velachery Metro Station,2026-06-01,19,0,200,190,10,42,87.79,95.0,HIGH
Velachery Metro Station,2026-06-01,20,0,200,166,34,42,93.66,83.0,HIGH
Velachery Metro Station,2026-06-01,21,0,200,70,130,29,25.85,35.0,LOW
Velachery Metro Station,2026-06-01,22,0,200,95,105,37,54.76,47.5,LOW
Velachery Metro Station,2026-06-01,23,0,200,77,123,33,34.09,38.5,LOW
OMR IT Park,2026-06-01,0,0,300,6,294,1,11.48,2.0,LOW
OMR IT Park,2026-06-01,1,0,300,6,294,2,5.41,2.0,LOW
OMR IT Park,2026-06-01,2,0,300,29,271,6,11.8,9.67,LOW
OMR IT Park,2026-06-01,3,0,300,16,284,7,16.74,5.33,LOW
OMR IT Park,2026-06-01,4,0,300,20,280,8,7.57,6.67,LOW
OMR IT Park,2026-06-01,5,0,300,11,289,5,15.92,3.67,LOW
OMR IT Park,2026-06-01,6,0,300,23,277,7,6.02,7.67,LOW
OMR IT Park,2026-06-01,7,0,300,25,275,7,10.73,8.33,LOW
OMR IT Park,2026-06-01,8,0,300,268,32,110,89.34,89.33,HIGH
OMR IT Park,2026-06-01,9,0,300,260,40,115,88.63,86.67,HIGH
OMR IT Park,2026-06-01,10,0,300,236,64,104,73.5,78.67,MEDIUM
OMR IT Park,2026-06-01,11,0,300,277,23,120,91.73,92.33,HIGH
OMR IT Park,2026-06-01,12,0,300,272,28,116,83.94,90.67,HIGH
OMR IT Park,2026-06-01,13,0,300,246,54,110,86.51,82.0,HIGH
OMR IT Park,2026-06-01,14,0,300,255,45,52,90.03,85.0,HIGH
OMR IT Park,2026-06-01,15,0,300,286,14,139,93.23,95.33,HIGH
OMR IT Park,2026-06-01,16,0,300,300,0,100,98.0,100.0,HIGH
OMR IT Park,2026-06-01,17,0,300,183,117,78,51.35,61.0,MEDIUM
OMR IT Park,2026-06-01,18,0,300,203,97,74,69.75,67.67,MEDIUM
OMR IT Park,2026-06-01,19,0,300,180,120,42,65.06,60.0,MEDIUM
OMR IT Park,2026-06-01,20,0,300,59,241,14,24.65,19.67,LOW
OMR IT Park,2026-06-01,21,0,300,46,254,21,17.7,15.33,LOW
OMR IT Park,2026-06-01,22,0,300,98,202,47,26.74,32.67,LOW
OMR IT Park,2026-06-01,23,0,300,24,276,5,16.69,8.0,LOW
Anna Nagar Center,2026-06-01,0,0,100,14,86,7,28.39,14.0,LOW
Anna Nagar Center,2026-06-01,1,0,100,6,94,2,7.2,6.0,LOW
Anna Nagar Center,2026-06-01,2,0,100,10,90,4,9.98,10.0,LOW
Anna Nagar Center,2026-06-01,3,0,100,20,80,9,20.02,20.0,LOW
Anna Nagar Center,2026-06-01,4,0,100,10,90,5,14.39,10.0,LOW
Anna Nagar Center,2026-06-01,5,0,100,8,92,3,6.75,8.0,LOW
Anna Nagar Center,2026-06-01,6,0,100,16,84,6,26.89,16.0,LOW
Anna Nagar Center,2026-06-01,7,0,100,16,84,6,21.57,16.0,LOW
Anna Nagar Center,2026-06-01,8,0,100,46,54,14,40.16,46.0,LOW
Anna Nagar Center,2026-06-01,9,0,100,49,51,22,56.4,49.0,LOW
Anna Nagar Center,2026-06-01,10,0,100,59,41,19,64.5,59.0,MEDIUM
Anna Nagar Center,2026-06-01,11,0,100,63,37,28,61.91,63.0,MEDIUM
Anna Nagar Center,2026-06-01,12,0,100,89,11,28,82.22,89.0,HIGH
Anna Nagar Center,2026-06-01,13,0,100,88,12,30,88.7,88.0,HIGH
Anna Nagar Center,2026-06-01,14,0,100,74,26,34,74.26,74.0,MEDIUM
Anna Nagar Center,2026-06-01,15,0,100,88,12,43,85.26,88.0,HIGH
Anna Nagar Center,2026-06-01,16,0,100,60,40,14,53.25,60.0,MEDIUM
Anna Nagar Center,2026-06-01,17,0,100,60,40,24,66.53,60.0,MEDIUM
Anna Nagar Center,2026-06-01,18,0,100,77,23,31,77.7,77.0,MEDIUM
Anna Nagar Center,2026-06-01,19,0,100,77,23,35,84.72,77.0,MEDIUM
Anna Nagar Center,2026-06-01,20,0,100,81,19,26,78.52,81.0,HIGH
Anna Nagar Center,2026-06-01,21,0,100,73,27,19,72.47,73.0,MEDIUM
Anna Nagar Center,2026-06-01,22,0,100,3,97,1,14.95,3.0,LOW
Anna Nagar Center,2026-06-01,23,0,100,24,76,10,12.23,24.0,LOW
Guindy Corporate Park,2026-06-01,0,0,180,15,165,7,6.83,8.33,LOW
Guindy Corporate Park,2026-06-01,1,0,180,6,174,2,7.16,3.33,LOW
Guindy Corporate Park,2026-06-01,2,0,180,10,170,3,7.69,5.56,LOW
Guindy Corporate Park,2026-06-01,3,0,180,12,168,3,6.69,6.67,LOW
Guindy Corporate Park,2026-06-01,4,0,180,4,176,1,5.46,2.22,LOW
Guindy Corporate Park,2026-06-01,5,0,180,28,152,7,7.58,15.56,LOW
Guindy Corporate Park,2026-06-01,6,0,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-01,7,0,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-01,8,0,180,148,32,65,82.8,82.22,HIGH
Guindy Corporate Park,2026-06-01,9,0,180,159,21,67,82.6,88.33,HIGH
Guindy Corporate Park,2026-06-01,10,0,180,131,49,45,68.47,72.78,MEDIUM
Guindy Corporate Park,2026-06-01,11,0,180,161,19,68,80.17,89.44,HIGH
Guindy Corporate Park,2026-06-01,12,0,180,150,30,70,75.72,83.33,HIGH
Guindy Corporate Park,2026-06-01,13,0,180,155,25,52,89.61,86.11,HIGH
Guindy Corporate Park,2026-06-01,14,0,180,157,23,49,85.06,87.22,HIGH
Guindy Corporate Park,2026-06-01,15,0,180,139,41,41,77.09,77.22,MEDIUM
Guindy Corporate Park,2026-06-01,16,0,180,149,31,60,86.71,82.78,HIGH
Guindy Corporate Park,2026-06-01,17,0,180,121,59,44,69.71,67.22,MEDIUM
Guindy Corporate Park,2026-06-01,18,0,180,114,66,27,72.58,63.33,MEDIUM
Guindy Corporate Park,2026-06-01,19,0,180,110,70,41,50.55,61.11,MEDIUM
Guindy Corporate Park,2026-06-01,20,0,180,40,140,11,22.76,22.22,LOW
Guindy Corporate Park,2026-06-01,21,0,180,28,152,7,13.91,15.56,LOW
Guindy Corporate Park,2026-06-01,22,0,180,29,151,14,16.01,16.11,LOW
Guindy Corporate Park,2026-06-01,23,0,180,4,176,2,6.07,2.22,LOW
Chennai Mall,2026-06-02,0,1,150,13,137,6,6.82,8.67,LOW
Chennai Mall,2026-06-02,1,1,150,29,121,12,18.68,19.33,LOW
Chennai Mall,2026-06-02,2,1,150,45,105,13,31.69,30.0,LOW
Chennai Mall,2026-06-02,3,1,150,28,122,9,15.38,18.67,LOW
Chennai Mall,2026-06-02,4,1,150,21,129,8,13.62,14.0,LOW
Chennai Mall,2026-06-02,5,1,150,11,139,4,12.11,7.33,LOW
Chennai Mall,2026-06-02,6,1,150,23,127,5,13.61,15.33,LOW
Chennai Mall,2026-06-02,7,1,150,7,143,3,10.07,4.67,LOW
Chennai Mall,2026-06-02,8,1,150,27,123,9,32.37,18.0,LOW
Chennai Mall,2026-06-02,9,1,150,19,131,5,12.42,12.67,LOW
Chennai Mall,2026-06-02,10,1,150,12,138,5,14.23,8.0,LOW
Chennai Mall,2026-06-02,11,1,150,9,141,2,10.74,6.0,LOW
Chennai Mall,2026-06-02,12,1,150,69,81,24,49.28,46.0,LOW
Chennai Mall,2026-06-02,13,1,150,72,78,32,53.71,48.0,LOW
Chennai Mall,2026-06-02,14,1,150,73,77,21,39.83,48.67,LOW
Chennai Mall,2026-06-02,15,1,150,81,69,38,58.77,54.0,MEDIUM
Chennai Mall,2026-06-02,16,1,150,23,127,9,13.16,15.33,LOW
Chennai Mall,2026-06-02,17,1,150,102,48,31,70.53,68.0,MEDIUM
Chennai Mall,2026-06-02,18,1,150,105,45,38,74.44,70.0,MEDIUM
Chennai Mall,2026-06-02,19,1,150,126,24,37,87.58,84.0,HIGH
Chennai Mall,2026-06-02,20,1,150,113,37,52,72.73,75.33,MEDIUM
Chennai Mall,2026-06-02,21,1,150,115,35,28,70.64,76.67,MEDIUM
Chennai Mall,2026-06-02,22,1,150,41,109,16,29.45,27.33,LOW
Chennai Mall,2026-06-02,23,1,150,43,107,13,35.28,28.67,LOW
T Nagar Commercial Hub,2026-06-02,0,1,120,10,110,3,11.9,8.33,LOW
T Nagar Commercial Hub,2026-06-02,1,1,120,15,105,6,25.15,12.5,LOW
T Nagar Commercial Hub,2026-06-02,2,1,120,13,107,6,8.22,10.83,LOW
T Nagar Commercial Hub,2026-06-02,3,1,120,20,100,7,9.91,16.67,LOW
T Nagar Commercial Hub,2026-06-02,4,1,120,14,106,7,11.86,11.67,LOW
T Nagar Commercial Hub,2026-06-02,5,1,120,23,97,7,14.38,19.17,LOW
T Nagar Commercial Hub,2026-06-02,6,1,120,11,109,2,5.0,9.17,LOW
T Nagar Commercial Hub,2026-06-02,7,1,120,15,105,7,5.0,12.5,LOW
T Nagar Commercial Hub,2026-06-02,8,1,120,17,103,6,6.1,14.17,LOW
T Nagar Commercial Hub,2026-06-02,9,1,120,6,114,2,7.62,5.0,LOW
T Nagar Commercial Hub,2026-06-02,10,1,120,90,30,28,71.67,75.0,MEDIUM
T Nagar Commercial Hub,2026-06-02,11,1,120,86,34,42,77.1,71.67,MEDIUM
T Nagar Commercial Hub,2026-06-02,12,1,120,74,46,37,62.89,61.67,MEDIUM
T Nagar Commercial Hub,2026-06-02,13,1,120,85,35,36,73.3,70.83,MEDIUM
T Nagar Commercial Hub,2026-06-02,14,1,120,78,42,20,66.02,65.0,MEDIUM
T Nagar Commercial Hub,2026-06-02,15,1,120,82,38,18,55.38,68.33,MEDIUM
T Nagar Commercial Hub,2026-06-02,16,1,120,100,20,33,66.09,83.33,HIGH
T Nagar Commercial Hub,2026-06-02,17,1,120,80,40,20,71.04,66.67,MEDIUM
T Nagar Commercial Hub,2026-06-02,18,1,120,97,23,27,84.18,80.83,HIGH
T Nagar Commercial Hub,2026-06-02,19,1,120,90,30,22,75.75,75.0,MEDIUM
T Nagar Commercial Hub,2026-06-02,20,1,120,63,57,17,53.05,52.5,MEDIUM
T Nagar Commercial Hub,2026-06-02,21,1,120,49,71,12,40.13,40.83,LOW
T Nagar Commercial Hub,2026-06-02,22,1,120,60,60,16,50.17,50.0,MEDIUM
T Nagar Commercial Hub,2026-06-02,23,1,120,20,100,6,17.1,16.67,LOW
Velachery Metro Station,2026-06-02,0,1,200,26,174,12,10.33,13.0,LOW
Velachery Metro Station,2026-06-02,1,1,200,4,196,2,14.02,2.0,LOW
Velachery Metro Station,2026-06-02,2,1,200,27,173,8,13.18,13.5,LOW
Velachery Metro Station,2026-06-02,3,1,200,32,168,10,6.79,16.0,LOW
Velachery Metro Station,2026-06-02,4,1,200,16,184,8,10.56,8.0,LOW
Velachery Metro Station,2026-06-02,5,1,200,39,161,17,16.3,19.5,LOW
Velachery Metro Station,2026-06-02,6,1,200,36,164,10,14.74,18.0,LOW
Velachery Metro Station,2026-06-02,7,1,200,157,43,44,83.01,78.5,MEDIUM
Velachery Metro Station,2026-06-02,8,1,200,151,49,55,83.09,75.5,MEDIUM
Velachery Metro Station,2026-06-02,9,1,200,181,19,37,94.36,90.5,HIGH
Velachery Metro Station,2026-06-02,10,1,200,175,25,70,90.32,87.5,HIGH
Velachery Metro Station,2026-06-02,11,1,200,145,55,46,77.19,72.5,MEDIUM
Velachery Metro Station,2026-06-02,12,1,200,157,43,60,80.33,78.5,MEDIUM
Velachery Metro Station,2026-06-02,13,1,200,140,60,43,70.42,70.0,MEDIUM
Velachery Metro Station,2026-06-02,14,1,200,169,31,58,74.17,84.5,HIGH
Velachery Metro Station,2026-06-02,15,1,200,164,36,43,82.84,82.0,HIGH
Velachery Metro Station,2026-06-02,16,1,200,145,55,31,62.97,72.5,MEDIUM
Velachery Metro Station,2026-06-02,17,1,200,174,26,75,96.88,87.0,HIGH
Velachery Metro Station,2026-06-02,18,1,200,174,26,61,84.82,87.0,HIGH
Velachery Metro Station,2026-06-02,19,1,200,180,20,80,92.64,90.0,HIGH
Velachery Metro Station,2026-06-02,20,1,200,186,14,70,98.0,93.0,HIGH
Velachery Metro Station,2026-06-02,21,1,200,70,130,25,37.89,35.0,LOW
Velachery Metro Station,2026-06-02,22,1,200,109,91,43,54.92,54.5,MEDIUM
Velachery Metro Station,2026-06-02,23,1,200,92,108,32,50.47,46.0,LOW
OMR IT Park,2026-06-02,0,1,300,19,281,4,5.0,6.33,LOW
OMR IT Park,2026-06-02,1,1,300,27,273,13,6.51,9.0,LOW
OMR IT Park,2026-06-02,2,1,300,39,261,18,9.15,13.0,LOW
OMR IT Park,2026-06-02,3,1,300,6,294,1,7.06,2.0,LOW
OMR IT Park,2026-06-02,4,1,300,6,294,3,9.01,2.0,LOW
OMR IT Park,2026-06-02,5,1,300,11,289,5,5.0,3.67,LOW
OMR IT Park,2026-06-02,6,1,300,21,279,8,5.97,7.0,LOW
OMR IT Park,2026-06-02,7,1,300,18,282,8,5.0,6.0,LOW
OMR IT Park,2026-06-02,8,1,300,296,4,95,91.53,98.67,HIGH
OMR IT Park,2026-06-02,9,1,300,254,46,126,83.57,84.67,HIGH
OMR IT Park,2026-06-02,10,1,300,252,48,106,80.41,84.0,HIGH
OMR IT Park,2026-06-02,11,1,300,250,50,72,80.27,83.33,HIGH
OMR IT Park,2026-06-02,12,1,300,239,61,96,79.3,79.67,MEDIUM
OMR IT Park,2026-06-02,13,1,300,250,50,116,79.8,83.33,HIGH
OMR IT Park,2026-06-02,14,1,300,300,0,75,93.69,100.0,HIGH
OMR IT Park,2026-06-02,15,1,300,300,0,106,98.0,100.0,HIGH
OMR IT Park,2026-06-02,16,1,300,248,52,63,81.16,82.67,HIGH
OMR IT Park,2026-06-02,17,1,300,204,96,100,68.65,68.0,MEDIUM
OMR IT Park,2026-06-02,18,1,300,213,87,91,66.23,71.0,MEDIUM
OMR IT Park,2026-06-02,19,1,300,205,95,55,65.52,68.33,MEDIUM
OMR IT Park,2026-06-02,20,1,300,80,220,30,24.17,26.67,LOW
OMR IT Park,2026-06-02,21,1,300,47,253,11,19.75,15.67,LOW
OMR IT Park,2026-06-02,22,1,300,103,197,38,38.19,34.33,LOW
OMR IT Park,2026-06-02,23,1,300,6,294,2,5.0,2.0,LOW
Anna Nagar Center,2026-06-02,0,1,100,17,83,5,19.43,17.0,LOW
Anna Nagar Center,2026-06-02,1,1,100,8,92,3,14.31,8.0,LOW
Anna Nagar Center,2026-06-02,2,1,100,25,75,9,15.83,25.0,LOW
Anna Nagar Center,2026-06-02,3,1,100,11,89,4,11.87,11.0,LOW
Anna Nagar Center,2026-06-02,4,1,100,23,77,10,25.59,23.0,LOW
Anna Nagar Center,2026-06-02,5,1,100,22,78,9,26.61,22.0,LOW
Anna Nagar Center,2026-06-02,6,1,100,7,93,3,5.0,7.0,LOW
Anna Nagar Center,2026-06-02,7,1,100,9,91,3,10.22,9.0,LOW
Anna Nagar Center,2026-06-02,8,1,100,43,57,21,32.71,43.0,LOW
Anna Nagar Center,2026-06-02,9,1,100,58,42,21,49.04,58.0,MEDIUM
Anna Nagar Center,2026-06-02,10,1,100,60,40,22,57.49,60.0,MEDIUM
Anna Nagar Center,2026-06-02,11,1,100,68,32,32,56.87,68.0,MEDIUM
Anna Nagar Center,2026-06-02,12,1,100,68,32,15,69.4,68.0,MEDIUM
Anna Nagar Center,2026-06-02,13,1,100,71,29,27,72.8,71.0,MEDIUM
Anna Nagar Center,2026-06-02,14,1,100,72,28,33,73.59,72.0,MEDIUM
Anna Nagar Center,2026-06-02,15,1,100,88,12,18,84.76,88.0,HIGH
Anna Nagar Center,2026-06-02,16,1,100,40,60,17,30.38,40.0,LOW
Anna Nagar Center,2026-06-02,17,1,100,52,48,26,55.05,52.0,MEDIUM
Anna Nagar Center,2026-06-02,18,1,100,71,29,31,73.91,71.0,MEDIUM
Anna Nagar Center,2026-06-02,19,1,100,84,16,24,87.51,84.0,HIGH
Anna Nagar Center,2026-06-02,20,1,100,86,14,42,81.14,86.0,HIGH
Anna Nagar Center,2026-06-02,21,1,100,71,29,20,82.95,71.0,MEDIUM
Anna Nagar Center,2026-06-02,22,1,100,27,73,7,23.65,27.0,LOW
Anna Nagar Center,2026-06-02,23,1,100,9,91,3,8.12,9.0,LOW
Guindy Corporate Park,2026-06-02,0,1,180,19,161,5,8.77,10.56,LOW
Guindy Corporate Park,2026-06-02,1,1,180,20,160,9,12.56,11.11,LOW
Guindy Corporate Park,2026-06-02,2,1,180,9,171,2,9.7,5.0,LOW
Guindy Corporate Park,2026-06-02,3,1,180,24,156,8,11.82,13.33,LOW
Guindy Corporate Park,2026-06-02,4,1,180,7,173,2,5.0,3.89,LOW
Guindy Corporate Park,2026-06-02,5,1,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-02,6,1,180,4,176,1,9.13,2.22,LOW
Guindy Corporate Park,2026-06-02,7,1,180,4,176,1,5.0,2.22,LOW
Guindy Corporate Park,2026-06-02,8,1,180,159,21,73,79.53,88.33,HIGH
Guindy Corporate Park,2026-06-02,9,1,180,161,19,37,86.64,89.44,HIGH
Guindy Corporate Park,2026-06-02,10,1,180,150,30,62,75.94,83.33,HIGH
Guindy Corporate Park,2026-06-02,11,1,180,157,23,48,90.26,87.22,HIGH
Guindy Corporate Park,2026-06-02,12,1,180,144,36,35,76.94,80.0,HIGH
Guindy Corporate Park,2026-06-02,13,1,180,168,12,44,93.33,93.33,HIGH
Guindy Corporate Park,2026-06-02,14,1,180,151,29,62,79.02,83.89,HIGH
Guindy Corporate Park,2026-06-02,15,1,180,155,25,71,82.36,86.11,HIGH
Guindy Corporate Park,2026-06-02,16,1,180,164,16,73,98.0,91.11,HIGH
Guindy Corporate Park,2026-06-02,17,1,180,94,86,42,56.75,52.22,MEDIUM
Guindy Corporate Park,2026-06-02,18,1,180,113,67,47,72.22,62.78,MEDIUM
Guindy Corporate Park,2026-06-02,19,1,180,88,92,38,49.39,48.89,LOW
Guindy Corporate Park,2026-06-02,20,1,180,67,113,28,27.69,37.22,LOW
Guindy Corporate Park,2026-06-02,21,1,180,29,151,12,22.39,16.11,LOW
Guindy Corporate Park,2026-06-02,22,1,180,35,145,15,15.89,19.44,LOW
Guindy Corporate Park,2026-06-02,23,1,180,4,176,1,5.0,2.22,LOW
Chennai Mall,2026-06-03,0,2,150,30,120,13,34.76,20.0,LOW
Chennai Mall,2026-06-03,1,2,150,15,135,6,11.87,10.0,LOW
Chennai Mall,2026-06-03,2,2,150,37,113,15,16.98,24.67,LOW
Chennai Mall,2026-06-03,3,2,150,31,119,15,16.23,20.67,LOW
Chennai Mall,2026-06-03,4,2,150,14,136,5,7.14,9.33,LOW
Chennai Mall,2026-06-03,5,2,150,14,136,5,15.26,9.33,LOW
Chennai Mall,2026-06-03,6,2,150,13,137,4,13.78,8.67,LOW
Chennai Mall,2026-06-03,7,2,150,40,110,12,18.16,26.67,LOW
Chennai Mall,2026-06-03,8,2,150,24,126,5,19.11,16.0,LOW
Chennai Mall,2026-06-03,9,2,150,3,147,1,9.67,2.0,LOW
Chennai Mall,2026-06-03,10,2,150,23,127,10,6.66,15.33,LOW
Chennai Mall,2026-06-03,11,2,150,16,134,6,14.45,10.67,LOW
Chennai Mall,2026-06-03,12,2,150,93,57,43,67.6,62.0,MEDIUM
Chennai Mall,2026-06-03,13,2,150,66,84,14,42.39,44.0,LOW
Chennai Mall,2026-06-03,14,2,150,79,71,38,48.1,52.67,MEDIUM
Chennai Mall,2026-06-03,15,2,150,69,81,17,47.95,46.0,LOW
Chennai Mall,2026-06-03,16,2,150,38,112,17,27.0,25.33,LOW
Chennai Mall,2026-06-03,17,2,150,104,46,41,90.15,69.33,MEDIUM
Chennai Mall,2026-06-03,18,2,150,98,52,39,71.43,65.33,MEDIUM
Chennai Mall,2026-06-03,19,2,150,132,18,44,84.05,88.0,HIGH
Chennai Mall,2026-06-03,20,2,150,130,20,59,80.38,86.67,HIGH
Chennai Mall,2026-06-03,21,2,150,130,20,50,96.74,86.67,HIGH
Chennai Mall,2026-06-03,22,2,150,54,96,26,37.72,36.0,LOW
Chennai Mall,2026-06-03,23,2,150,46,104,18,37.13,30.67,LOW
T Nagar Commercial Hub,2026-06-03,0,2,120,10,110,4,12.39,8.33,LOW
T Nagar Commercial Hub,2026-06-03,1,2,120,28,92,12,18.73,23.33,LOW
T Nagar Commercial Hub,2026-06-03,2,2,120,18,102,6,15.28,15.0,LOW
T Nagar Commercial Hub,2026-06-03,3,2,120,16,104,7,12.76,13.33,LOW
T Nagar Commercial Hub,2026-06-03,4,2,120,25,95,6,15.66,20.83,LOW
T Nagar Commercial Hub,2026-06-03,5,2,120,11,109,5,5.0,9.17,LOW
T Nagar Commercial Hub,2026-06-03,6,2,120,7,113,2,9.31,5.83,LOW
T Nagar Commercial Hub,2026-06-03,7,2,120,11,109,4,5.0,9.17,LOW
T Nagar Commercial Hub,2026-06-03,8,2,120,9,111,4,10.88,7.5,LOW
T Nagar Commercial Hub,2026-06-03,9,2,120,14,106,4,12.69,11.67,LOW
T Nagar Commercial Hub,2026-06-03,10,2,120,89,31,32,60.38,74.17,MEDIUM
T Nagar Commercial Hub,2026-06-03,11,2,120,93,27,39,78.07,77.5,MEDIUM
T Nagar Commercial Hub,2026-06-03,12,2,120,100,20,48,85.85,83.33,HIGH
T Nagar Commercial Hub,2026-06-03,13,2,120,73,47,17,64.27,60.83,MEDIUM
T Nagar Commercial Hub,2026-06-03,14,2,120,83,37,24,67.23,69.17,MEDIUM
T Nagar Commercial Hub,2026-06-03,15,2,120,89,31,34,82.06,74.17,MEDIUM
T Nagar Commercial Hub,2026-06-03,16,2,120,91,29,22,69.97,75.83,MEDIUM
T Nagar Commercial Hub,2026-06-03,17,2,120,74,46,26,67.28,61.67,MEDIUM
